Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Event Id,Event Date,Event Duration
0.1992187500,1,-54680.9218750000,-37803.3203125000,-50877.0585937500,-2538.1936035156,-79658.2578125000,-44198.6718750000,-73428.9218750000,-34593.3476562500,-102070.0390625000,-98813.0625000000,-64129.8945312500,-57656.6054687500,-79526.0234375000,-51593.8828125000,-65930.3828125000,-67484.1875000000,,,
0.2031250000,1,-54673.1250000000,-37793.0234375000,-50865.6953125000,-2530.8930664063,-79648.6953125000,-44194.7304687500,-73441.7578125000,-34587.8203125000,-102070.0390625000,-98807.0312500000,-64124.2265625000,-57649.8789062500,-79520.0078125000,-51584.2812500000,-65921.2265625000,-67475.8750000000,,,
0.2070312500,1,-54668.3671875000,-37783.3632812500,-50859.5507812500,-2520.6843261719,-79635.5703125000,-44184.9453125000,-73417.0234375000,-34577.0781250000,-102070.0390625000,-98793.8984375000,-64112.8242187500,-57641.4687500000,-79511.7500000000,-51573.9648437500,-65911.5468750000,-67467.7578125000,,,
0.2109375000,1,-54676.8359375000,-37789.6796875000,-50869.0781250000,-2525.6245117188,-79639.2578125000,-44187.2460937500,-73398.3671875000,-34577.1992187500,-102070.0390625000,-98795.6171875000,-64117.2890625000,-57648.0898437500,-79518.0312500000,-51580.0000000000,-65922.1328125000,-67478.2031250000,,,
0.2148437500,1,-54687.7265625000,-37796.2265625000,-50881.4375000000,-2536.6362304688,-79653.0781250000,-44199.1328125000,-73430.7812500000,-34589.9648437500,-102070.0390625000,-98809.9609375000,-64129.9453125000,-57662.5429687500,-79527.9062500000,-51592.0820312500,-65937.0625000000,-67490.2500000000,,,
0.2187500000,1,-54682.2617187500,-37792.1484375000,-50877.5937500000,-2535.4072265625,-79661.9375000000,-44203.3554687500,-73441.8906250000,-34591.1054687500,-102070.0390625000,-98815.8359375000,-64132.2656250000,-57662.7500000000,-79526.5234375000,-51591.1562500000,-65938.3515625000,-67488.0468750000,,,
0.2226562500,1,-54673.1835937500,-37782.0234375000,-50868.0429687500,-2526.6953125000,-79658.6718750000,-44199.8046875000,-73425.9687500000,-34584.4882812500,-102070.0390625000,-98813.2109375000,-64127.0468750000,-57657.8359375000,-79522.6484375000,-51586.5703125000,-65935.4921875000,-67482.5078125000,,,
0.2265625000,1,-54672.0039062500,-37783.0234375000,-50865.7187500000,-2524.5659179688,-79659.5000000000,-44197.0781250000,-73419.9531250000,-34583.3203125000,-102070.0390625000,-98810.2265625000,-64124.1015625000,-57660.4140625000,-79521.9062500000,-51587.0781250000,-65932.8906250000,-67484.0156250000,,,
0.2304687500,1,-54682.1406250000,-37799.2539062500,-50877.3750000000,-2531.2094726563,-79664.2109375000,-44196.4804687500,-73402.9062500000,-34582.7343750000,-102070.0390625000,-98809.5859375000,-64128.0195312500,-57664.0664062500,-79523.6718750000,-51591.6171875000,-65936.6796875000,-67491.5703125000,,,
0.2343750000,1,-54689.3554687500,-37808.3554687500,-50885.8437500000,-2538.8750000000,-79667.3593750000,-44196.7500000000,-73396.9921875000,-34588.0546875000,-102070.0390625000,-98816.4687500000,-64133.3242187500,-57669.9921875000,-79525.9375000000,-51600.5507812500,-65944.5937500000,-67498.7265625000,,,
0.2382812500,1,-54683.4804687500,-37800.0937500000,-50878.0820312500,-2534.0688476563,-79655.2812500000,-44197.4179687500,-73424.5078125000,-34587.1054687500,-102070.0390625000,-98820.3671875000,-64132.7304687500,-57669.8203125000,-79523.5156250000,-51602.2421875000,-65941.6015625000,-67491.4765625000,,,
0.2421875000,1,-54672.7851562500,-37790.0546875000,-50865.9843750000,-2525.6245117188,-79663.2343750000,-44199.2578125000,-73441.9062500000,-34586.0351562500,-102070.0390625000,-98815.9609375000,-64127.8984375000,-57664.2226562500,-79525.1718750000,-51599.8203125000,-65939.4531250000,-67490.9140625000,,,
0.2460937500,1,-54667.5898437500,-37787.7304687500,-50859.7304687500,-2522.5095214844,-79653.9375000000,-44193.8789062500,-73424.3750000000,-34580.4726562500,-102070.0390625000,-98810.2421875000,-64122.5937500000,-57659.5390625000,-79522.2734375000,-51590.2695312500,-65932.6640625000,-67485.6250000000,,,
0.2500000000,2,-54676.2773437500,-37798.4140625000,-50869.2226562500,-2527.6564941406,-79656.8750000000,-44195.0078125000,-73427.6796875000,-34582.2617187500,-102070.0390625000,-98809.0468750000,-64126.7539062500,-57662.5429687500,-79526.9140625000,-51593.4804687500,-65934.5312500000,-67492.5078125000,,,
0.2539062500,2,-54692.9570312500,-37813.0781250000,-50887.4609375000,-2539.2521972656,-79671.1484375000,-44206.3359375000,-73448.3203125000,-34590.9726562500,-102070.0390625000,-98820.7031250000,-64134.8359375000,-57672.9960937500,-79535.8281250000,-51603.5546875000,-65941.7343750000,-67502.1015625000,,,
0.2578125000,2,-54686.2773437500,-37801.2734375000,-50881.8164062500,-2532.5844726563,-79671.9843750000,-44206.1054687500,-73446.9765625000,-34586.4218750000,-102070.0390625000,-98823.1171875000,-64132.4140625000,-57669.9687500000,-79530.8281250000,-51601.5468750000,-65941.0546875000,-67494.8828125000,,,
0.2617187500,2,-54670.1445312500,-37781.2695312500,-50864.1484375000,-2517.4355468750,-79666.4531250000,-44197.7343750000,-73449.9375000000,-34577.0156250000,-102070.0390625000,-98814.9609375000,-64121.1718750000,-57660.6484375000,-79520.2421875000,-51590.3515625000,-65932.4296875000,-67483.9062500000,,,
0.2656250000,2,-54661.8437500000,-37773.2265625000,-50856.8828125000,-2509.8308105469,-79659.2187500000,-44182.4882812500,-73434.3984375000,-34570.8476562500,-102070.0390625000,-98805.8828125000,-64114.1992187500,-57654.9414062500,-79507.7578125000,-51576.0820312500,-65920.2265625000,-67471.5859375000,,,
0.2695312500,2,-54669.4257812500,-37783.0234375000,-50861.6289062500,-2515.3427734375,-79661.2812500000,-44184.2656250000,-73403.0078125000,-34572.1992187500,-102070.0390625000,-98801.5546875000,-64115.5234375000,-57659.2578125000,-79516.8359375000,-51579.6328125000,-65928.1328125000,-67480.0156250000,,,
0.2734375000,2,-54681.0351562500,-37796.1875000000,-50873.0429687500,-2527.1818847656,-79668.3359375000,-44189.2656250000,-73410.9296875000,-34580.4492187500,-102070.0390625000,-98807.0625000000,-64123.9921875000,-57669.0078125000,-79521.3359375000,-51586.8007812500,-65936.3437500000,-67485.5859375000,,,
0.2773437500,2,-54670.7773437500,-37788.2929687500,-50866.4257812500,-2522.1931152344,-79663.1484375000,-44187.6484375000,-73427.6250000000,-34578.4296875000,-102070.0390625000,-98808.5234375000,-64119.0781250000,-57664.6250000000,-79517.8203125000,-51585.4843750000,-65932.7421875000,-67478.2734375000,,,
0.2812500000,2,-54653.9375000000,-37773.0195312500,-50851.5664062500,-2511.9116210938,-79653.6640625000,-44182.7578125000,-73418.5937500000,-34569.4609375000,-102070.0390625000,-98806.5625000000,-64111.9960937500,-57659.6718750000,-79508.8281250000,-51579.7421875000,-65923.6328125000,-67467.7968750000,,,
0.2851562500,2,-54648.8750000000,-37772.8750000000,-50847.1015625000,-2510.3417968750,-79648.4531250000,-44180.6132812500,-73416.5937500000,-34566.5039062500,-102070.0390625000,-98804.9218750000,-64109.9414062500,-57658.3242187500,-79510.1328125000,-51580.6054687500,-65925.3203125000,-67471.4609375000,,,
0.2890625000,2,-54654.3750000000,-37781.7929687500,-50855.5351562500,-2513.4445800781,-79649.4375000000,-44180.4101562500,-73413.8828125000,-34566.4570312500,-102070.0390625000,-98802.8203125000,-64111.3164062500,-57662.6054687500,-79512.1640625000,-51583.1250000000,-65928.4609375000,-67478.5781250000,,,
0.2929687500,2,-54664.2890625000,-37792.2578125000,-50861.8476562500,-2521.4267578125,-79653.9062500000,-44184.1796875000,-73405.1953125000,-34570.2890625000,-102070.0390625000,-98805.1875000000,-64116.5585937500,-57671.5000000000,-79517.0781250000,-51588.9296875000,-65935.2734375000,-67485.2109375000,,,
